running job: 3
/home-mscluster/erex/anaconda3/envs/swav/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: libtorch_cuda_cu.so: cannot open shared object file: No such file or directory
  warn(f"Failed to load image Python extension: {e}")
INFO - 02/18/23 03:15:36 - 0:00:00 - ============ Initialized logger ============
INFO - 02/18/23 03:15:36 - 0:00:00 - arch: resnet50
                                     batch_size: 32
                                     data_path: /home-mscluster/erex/research_project/datasets/Covidx-CT
                                     decay_epochs: [60, 80]
                                     dist_url: env://
                                     dump_checkpoints: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3/checkpoints
                                     dump_path: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     epochs: 100
                                     final_lr: 0
                                     gamma: 0.1
                                     global_pooling: True
                                     gpu_to_work_on: 0
                                     is_slurm_job: True
                                     local_rank: 0
                                     lr: 0.3
                                     nesterov: False
                                     num_labels: 2
                                     pretrained: /home-mscluster/erex/research_project/models/swav/experiments/pre-training/saving_dir3/checkpoint.pth.tar
                                     rank: 0
                                     scheduler_type: cosine
                                     seed: 31
                                     use_bn: False
                                     wd: 1e-06
                                     workers: 10
                                     world_size: 1
INFO - 02/18/23 03:15:36 - 0:00:00 - The experiment will be stored in /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     

INFO - 02/18/23 03:18:43 - 0:03:06 - Building data done
INFO - 02/18/23 03:19:16 - 0:03:40 - Load pretrained model with msg: _IncompatibleKeys(missing_keys=[], unexpected_keys=['projection_head.0.weight', 'projection_head.0.bias', 'projection_head.1.weight', 'projection_head.1.bias', 'projection_head.1.running_mean', 'projection_head.1.running_var', 'projection_head.1.num_batches_tracked', 'projection_head.3.weight', 'projection_head.3.bias', 'prototypes.weight'])
INFO - 02/18/23 03:19:16 - 0:03:40 - ============ Starting epoch 0 ... ============
[W reducer.cpp:1251] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
INFO - 02/18/23 03:19:49 - 0:04:13 - Epoch[0] - Iter: [0/11173]	Time 33.155 (33.155)	Data 2.332 (2.332)	Loss 0.6042 (0.6042)	Prec 87.500 (87.500)	LR 0.3
INFO - 02/18/23 03:19:54 - 0:04:17 - Epoch[0] - Iter: [50/11173]	Time 0.024 (0.740)	Data 0.000 (0.112)	Loss 4.4323 (3.5628)	Prec 81.250 (80.453)	LR 0.3
INFO - 02/18/23 03:20:01 - 0:04:25 - Epoch[0] - Iter: [100/11173]	Time 0.024 (0.446)	Data 0.000 (0.116)	Loss 0.8258 (3.3093)	Prec 81.250 (79.889)	LR 0.3
INFO - 02/18/23 03:20:09 - 0:04:32 - Epoch[0] - Iter: [150/11173]	Time 0.024 (0.350)	Data 0.000 (0.121)	Loss 4.8103 (3.0508)	Prec 59.375 (79.719)	LR 0.3
INFO - 02/18/23 03:20:18 - 0:04:41 - Epoch[0] - Iter: [200/11173]	Time 0.024 (0.308)	Data 0.000 (0.130)	Loss 1.7660 (3.0371)	Prec 81.250 (79.835)	LR 0.3
INFO - 02/18/23 03:20:26 - 0:04:50 - Epoch[0] - Iter: [250/11173]	Time 0.024 (0.281)	Data 0.000 (0.134)	Loss 7.6496 (3.3903)	Prec 87.500 (79.532)	LR 0.3
INFO - 02/18/23 03:20:35 - 0:04:59 - Epoch[0] - Iter: [300/11173]	Time 0.024 (0.263)	Data 0.000 (0.137)	Loss 3.3422 (3.5945)	Prec 81.250 (79.547)	LR 0.3
INFO - 02/18/23 03:20:44 - 0:05:08 - Epoch[0] - Iter: [350/11173]	Time 0.024 (0.251)	Data 0.000 (0.139)	Loss 1.0764 (3.4200)	Prec 87.500 (79.834)	LR 0.3
INFO - 02/18/23 03:20:52 - 0:05:16 - Epoch[0] - Iter: [400/11173]	Time 0.025 (0.240)	Data 0.000 (0.139)	Loss 3.5470 (3.2808)	Prec 56.250 (80.128)	LR 0.3
INFO - 02/18/23 03:21:00 - 0:05:24 - Epoch[0] - Iter: [450/11173]	Time 0.025 (0.232)	Data 0.000 (0.139)	Loss 1.8318 (3.2439)	Prec 87.500 (80.024)	LR 0.3
INFO - 02/18/23 03:21:09 - 0:05:32 - Epoch[0] - Iter: [500/11173]	Time 0.024 (0.225)	Data 0.000 (0.139)	Loss 7.2767 (3.3054)	Prec 81.250 (80.071)	LR 0.3
INFO - 02/18/23 03:21:17 - 0:05:41 - Epoch[0] - Iter: [550/11173]	Time 0.025 (0.220)	Data 0.000 (0.140)	Loss 1.6715 (3.3711)	Prec 78.125 (80.150)	LR 0.3
